Pammene fasciana
Coptotermes formosanus
Mamestra brassicae
Ctenarytaina eucalypti
Acrolepiopsis assectella
Leptinotarsa decemlineata
Thaumetopoea pityocampa
Aleurodicus dispersus
Pouteria lucuma
Erionota thrax
Aproceros leucopoda
Thrips palmi
Citrus aurantiifolia
Pterophylla beltrani
Lymantria dispar
Coccinella septempunctata
Scirtothrips aurantii
Cuphea hyssopifolia
Kalanchoe delagoensis
Ipomoea quamoclit
Terminalia catappa
Ziziphus mauritiana
Tetropium gracilicorne
Xylotrechus altaicus
Orobanche aegyptiaca
Manilkara zapota
Averrhoa carambola
Prunus serotina
Pityogenes chalcographus
Eurytoma amygdali
Synedrella nodiflora
Scolytus intricatus
Pseudocercospora fuligena
Rudbeckia laciniata
Orobanche cernua
Physalis peruviana
Ulmus glabra
Mycosphaerella dearnessii
Mycosphaerella gibsonii
Megathyrsus maximus
Tradescantia fluminensis
Ficus auriculata
Cosmos caudatus
Hibiscus cannabinus
Pterocarpus indicus
Brassica juncea
Morinda citrifolia
Arracacia xanthorrhiza
Luffa acutangula
Dendroctonus pseudotsugae
Helicoverpa zea
Colocasia esculenta
Erwinia pyrifoliae
Urocerus gigas
Kalanchoe pinnata
Seiridium cardinale
Morus alba
Eucalyptus cladocalyx
Pyrrhalta luteola
Kabatiella zeae
Phleum pratense
Didymella fabae
Monilinia fructigena
Tamarix aphylla
Eriosoma lanigerum
Myzus cerasi
Rhyacionia buoliana
Sepedon aenescens
Forficula auricularia
Jatropha curcas
Apiognomonia erythrostoma
Sechium edule
Albizia procera
Apiognomonia errabunda
Rhaponticum repens
Moniliophthora perniciosa
Bidens pilosa
Jasminum multiflorum
Annona cherimola
Psidium guajava
Sphaeropsis sapinea
Botryosphaeria berengeriana f.sp. pyricola
Eupoecilia ambiguella
Guignardia citricarpa
Diplodia seriata
Cinnamomum camphora
Gliricidia sepium
Limacus flavus
Cytisus scoparius
Acacia auriculiformis
Grevillea robusta
Ulex europaeus
Grapevine flavescence doree phytoplasma
Ligustrum sinense
Cernuella virgata
Argyrotaenia ljungiana
Xylotrechus pantherinus
Curculio elephas
Mimosa diplotricha
Chrysodeixis chalcites
Autographa gamma
Drosophila suzukii
Sirococcus clavigignenti-juglandacearum
Corymbia citriodora
Ceratitis rosa
Sugarcane streak mosaic virus
Lobesia botrana
Nasutitermes corniger
Solidago canadensis
Solidago gigantea
Hydrilla verticillata
Tecoma stans
Bambusa vulgaris
Cheilocostus speciosus
Conium maculatum
Ceroplastes sinensis
Plantago coronopus
Phoma tracheiphila
Semiaphis heraclei
Kydia calycina
Austropuccinia psidii
Ehrharta erecta
Cuscuta campestris
Crataegus monogyna
Olea europaea subsp. europaea
Erythrina poeppigiana
Helicoverpa armigera
Crumenulopsis sororia
Spodoptera litura
Monochamus urussovii
Ceratocystis fagacearum
Hylurgus ligniperda
Ips typographus
Ceratocystis platani
Dryocoetes confusus
Ips cembrae
Aphis spiraecola
Ips subelongatus
Indigofera tinctoria
Morus nigra
Mycosphaerella fijiensis
Solanum nigrum
Striga hermonthica
Tilletia controversa
Verticillium dahliae
Annona muricata
Moniliophthora roreri
Rhabdoscelus obscurus
Tropaeolum majus
Colletotrichum queenslandicum
Colletotrichum tropicale
Jubaea chilensis
Coniothyrium glycines
Yucca aloifolia
Phyllachora maydis
Heliconia bihai
Dendrolimus pini
Tibraca limbativentris
Tetropium staudingeri
Nomadacris septemfasciata
Fusarium xylarioides
Mikania micrantha
Saccharum spontaneum
Sporisorium scitamineum
Rhamnus cathartica
Sambucus nigra
Ceroplastes rubens
Cryptoblabes gnidiella
Chloris barbata
Pseudacysta perseae
Scirtothrips dorsalis
Frankliniella australis
Tomato yellow ring orthotospovirus
Xanthomonas citri pv. punicae
Elaeagnus angustifolia
Tecia solanivora
Thrips major
Thrips setosus
Thrips imaginis
Cupressus sempervirens
Baileyothrips limbatus
Thespesia populnea
